isbn,book_title,book_author,year_of_publication,publisher
0140101241,Expensive Habits: A Novel,"Maureen, Howard",1987,Penguin USA
0140101292,Sorrell and Son,Ernest Thompson Seton,1987,Penguin USA
0140101322,The House of Mitford,Jonathan Guinness,1987,Penguin USA
0140101330,Old Devils,Kingsley Amis,0,Penguin Putnam~trade
0140101810,Beyond Redemption,Jennifer Dabbs,1987,Penguin
0140101950,Rotten Reviews: A Literary Companion,Bill Henderson,1987,Penguin USA
0140101985,Room service,Frank Moorhouse,1987,Penguin Books
0140101993,Elizabeth Stories (King Penguin S.),Isabel Huggan,1988,Penguin USA
0140102213,Flying Fox in a Freedom Tree,Albert Wendt,1988,Penguin USA
0140102264,The Penguin Complete Ghost Stories of M.R. James,M. R. James,1988,Penguin USA
0140102310,Home: A Short History of an Idea,Witold Rybczynski,1987,Penguin Books
0140102345,Broken words,Helen Hodgman,1988,Penguin
0140102507,Evidence to Destroy,Margaret Yorke,1989,Penguin USA
014010254X,Having Everything Right: Essays of Place,Kim R. Stafford,1987,Penguin USA
0140102574,Gabriel's Lament,Paul Bailey,1987,Penguin Books Ltd
0140102620,"No other home: An Anglo-Jewish story, 1833-1937",Barbara Falk,1988,Viking Penguin
0140102663,The Snow Leopard,Peter Matthiessen,1995,Penguin USA
0140102671,The Untouchable Juli,James Aldridge,1987,Penguin USA
014010268X,Minimum of Two (A King Penguin),Tim Winton,1989,Penguin USA
0140102701,White Tribe Dreaming: Apartheid's Bitter Roots As Witnessed by Eight Generations of an Afrikaner Family,Marq De Villiers,1989,Penguin USA
0140102760,Seven Rivers West (Contemporary American Fiction),Edward Hoagland,1987,Penguin USA
0140102817,Rough Magic: A Biography of Sylvia Plath,Alexander Paul,1992,Penguin USA
0140102833,Rich in Love (Contemporary American Fiction),Josephine Humphreys,1988,Penguin USA
0140102914,The Death of Jim Loney (Contemporary American Fiction),James Welch,1987,Penguin Books
0140102922,Highlights of the Off-Season (Contemporary American Fiction),Peter J. Smith,1987,Penguin USA
0140102930,Mr. Stimpson and Mr.Gorse,Patrick Hamilton,1987,Penguin Books Ltd
0140102949,Tears of the Moon,Gary Ross,1990,Penguin USA
0140102973,Half of Man Is Woman,Xianliang Zhang,0,Penguin Putnam~trade
014010304X,Bride of Dark and Stormy: Yet More of the Best (? from the Bulwer-Lytton Contest),Scott Rice,1988,Penguin USA
0140103066,Going Solo,Roald Dahl,1988,Penguin Books
0140103112,My Family and Other Animals,Gerald Durrell,1987,Penguin Books Ltd
0140103120,Vanity Fair,William Thackeray,1987,Penguin Books Ltd
0140103147,Rogers Version,John Updike,0,Penguin Putnam~trade
0140103279,Rules of the Knife Fight,Walter Walker,1987,Select Penguin
0140103287,Anagrams: A Novel (Contemporary American Fiction),Lorraine Moore,1987,Penguin USA
0140103295,Sport of Nature,Nadine Gordimer,1988,Penguin Putnam~trade
0140103449,Unveiling India: A Woman's Journey (India S.),Anees Jung,1987,Penguin Books
0140103570,The Monkey's Wrench (King Penguin),Primo Levi,1987,Penguin USA
0140103600,God's Snake (King Penguin),Irini Spanidou,1987,Penguin USA
0140103643,"World Without End, Amen",Jimmy Breslin,1987,Select Penguin
0140103716,Wayward Girls and Wicked Women: An Anthology of Stories,Angela Carter,1989,Penguin Books
0140103740,Jujitsu for Christ (Contemporary American Fiction),Jack Butler,1988,Penguin USA
0140103767,Arab and Jew: Wounded Spirits in a Promised Land,David K. Shipler,1987,Penguin Books
0140103805,Wlt: A Radio Romance,Garrison Keillor,1992,Penguin Books
0140103821,Perpetual Motion,Graeme Gibson,1988,Penguin USA
0140103856,Dancing On My Grave,Gelsey Krikland,0,Penguin Putnam~trade
0140103902,The Easy Way to Stop Smoking (Penguin Health Care &amp; Fitness),Allen Carr,1988,Penguin Books Ltd
014010397X,The Heart of the Country (King Penguin),Fay Weldon,1990,Penguin USA
0140104003,Steal This Urine Test,A. Hoffman,1987,Penguin Books
0140104011,Wordstruck: A Memoir,Robert MacNeil,1990,Penguin Books
0140104291,The Raging of the Sea,Charles Gidley,1987,Select Penguin
0140104321,Cadillac desert: The American West and its disappearing water,Marc Reisner,1987,Penguin Books
0140104399,Vimy (Penguin Non-fiction),Pierre Berton,1987,Penguin USA
0140104402,South Will Rise at Noon,Douglas Glover,1990,Viking Press
0140104410,Middleman and Other Stories,Bharati Mukherjee,1990,South Asia Books
0140104429,Why we act like Canadians: A personal exploration of our national character,Pierre Berton,1987,Penguin Books
0140104437,A Story of Deep Delight (Contemporary American Fiction),Thomas McNamee,1992,Penguin USA
014010447X,Rumpole's last case,John Clifford Mortimer,1988,Penguin Books
0140104534,Finding Hoseyn,Colin MacKinnon,1988,Select Penguin (Mm)
0140104542,A City Called July,Howard Engel,1988,Penguin USA
0140104569,"Ruth Park's \Harp in the South\"" Novels""",Ruth Park,1987,Penguin Books Australia Ltd
0140104682,"Heroes of Their Own Lives: The Politics and History of Family Violence, Boston 1880-1960",Linda Gordon,1989,Penguin USA
0140104690,The Magic Lantern: An Autobiography,Ingmar Bergman,1994,Penguin USA
0140104704,The Book and the Brotherhood (Penguin Fiction),Iris Murdoch,1988,Penguin Books
0140104771,The Suspect (Penguin Crime Fiction),L.R. Wright,1993,Penguin USA
0140104801,No Full Stops in India,Mark Tully,1991,South Asia Books
0140104836,Trust,Mary Flanagan,0,Penguin Putnam~trade
0140104984,The Narrowing Stream,John Mortimer,1989,Penguin Books Ltd
0140105115,Small World,David Lodge,1988,Penguin Books Ltd
014010514X,Geronimo Rex,Barry Hannah,1987,Penguin USA
0140105166,Chasing the monsoon,Alexander Frater,1991,Penguin Books
0140105247,The invaluable mystery,Lesbia Harford,1987,Penguin Books
014010528X,The Judas Pair,Jonathan Gash,1988,Penguin Books
0140105425,The Complete Works of Lewis Carroll,Lewis Carroll,1999,Trafalgar Square Publishing
0140105530,The Progress of Love (King Penguin),Alice Munro,1987,Penguin USA
0140105662,Most Beautiful House in the World,Witold Rybczynski,1990,Penguin Books
0140105670,Two Deaths of Senora Puccine,Stephen Dobyns,1989,Penguin USA
0140105700,Between C and D: New Writing from the Lower East Side Fiction Magazine (Contemporary American fiction),Joel Rose,1988,Penguin USA
0140105719,Sister Ships and Other Stories (King Penguin),Joan London,1988,Penguin USA
0140105735,Summer's Lease,John Mortimer,1989,Penguin Books Ltd
0140105816,Briarpatch,Ross Thomas,1987,Select Penguin (Mm)
0140105883,Fireworks: Nine Profane Pieces (King Penguin),Angela Carter,1994,Penguin Books
0140105956,Reuben (Contemporary American Fiction),John Edgar Wideman,1988,Penguin USA
0140106049,Stop Struggling With Your Teen,Evonne Weinhaus,1995,Penguin USA
0140106138,Saratoga Bestiary (Penguin Crime Monthly),Stephen Dobyns,1990,Penguin USA
0140106162,Sugar and Other Stories,A S Byatt,0,Penguin Putnam~trade
0140106197,A Breed of Women,Fiona Kidman,1989,Penguin USA
0140106286,Invention of Solitude,Paul Auster,1988,Penguin Books
0140106324,MURDER BEHIND LOCKED DOOR,Ellen  Godfrey,1989,Penguin Books Canada Ltd
0140106391,Glass Menagerie,Tennessee Williams,1988,Penguin USA
0140106464,Moonspender: A Lovejoy Novel of Suspense (Penguin Crime Fiction),Jonathan Gash,1990,Select Penguin (Mm)
0140106499,Penguin Complete Novels of Jane Austen,Jane Austen,1995,Penguin Books
0140106545,"Reading the Numbers: A Survival Guide to the Measurements, Numbers, and Sizes Encountered in Everyday Life",Mary Blocksma,1989,Penguin USA
014010657X,Coasting: A Private Voyage,Jonathan Raban,1988,Penguin USA
0140106588,Another Day of Life,Ryszard Kapuscinski,1988,Penguin USA
0140106618,Gravity's Rainbow,Thomas Pynchon,1988,Penguin USA
0140106693,Other People's Worlds,William Trevor,1994,Penguin Books
0140106804,Mourner at the Door: Stories (Contemporary American fiction),Gordon Lish,1989,Penguin USA
0140106839,Inner Cities,Drusilla Modjeska,1989,Penguin Books Ltd
0140106995,The New Confessions,William Boyd,1989,Penguin USA
0140107320,In the Eyes of Mr Fury,Philip Ridley,1989,Penguin USA
0140107355,The Last of Philip Banter (Penguin Classic Crime),John Franklin Bardin,1989,Penguin USA
0140107401,A Book of Travellers' Tales,Eric Newby,1987,Penguin USA
0140107479,Transit of Venus,Shirley Hazzard,2000,Penguin Books
0140107495,The Boarding-House,William Trevor,1995,Penguin Books
0140107649,Blue Heaven (Contemporary American Fiction S.),Joe Keenan,1988,Penguin Books
0140107851,Penguin Book of Indian Cartoons,"\Abu\""""",1988,Penguin Books India
0140108033,The White Hotel,D.M. Thomas,1988,Penguin Books Ltd
014010819X,Heartbreak Hotel (Contemporary American Fiction),Gabrielle Burton,1988,Penguin USA
0140108262,Not That Sort of Girl (King Penguin),Mary Wesley,1989,Penguin Books
0140108270,Jumping the Queue (King Penguin),Mary Wesley,1988,Penguin Books
0140108289,The Vacillations of Poppy Carew (King Penguin),Mary Wesley,1988,Penguin Books
0140108297,In the Combat Zone: Vivid Personal Recollections of the Vietnam War from the Women Who Served There,Kathryn Marshall,1988,Penguin USA
0140108327,The Female of the Species (Contemporary American Fiction),Lionel Shriver,1988,Penguin USA
0140108394,The Caretakers,Bernard Mathias,1989,Penguin USA
0140108467,Cuts (King Penguin),Malcolm Bradbury,1911,Penguin USA
0140108599,Clear Light of Day,Anita Desai,1990,Penguin USA
014010870X,Life and Death in Shanghai,Nien Cheng,1988,Penguin Books
0140108718,Being Invisible (Contemporary American Fiction),Thomas Berger,1988,Penguin USA
0140108726,The Kentish Manor Murders (Penguin Crime Fiction),Julian Symons,1989,Penguin USA
0140108742,Far Cry from Kensington,Muriel Spark,1989,Penguin USA
0140109013,How to Be Tremendously Tuned in to Opera,E.O. Parrott,1991,Penguin USA
0140109064,Heart Mountain,Gretel Ehrlich,1989,Penguin Books
0140109072,"Islands, the Universe, Home",Gretel Ehrlich,1992,Penguin Books
014010917X,In Transit: Twenty Stories (King Penguin),Mavis Gallant,1990,Penguin USA
014010920X,The Slow Train to Milan,Lisa St.Aubin De Teran,1989,Penguin Books Ltd
0140109218,The Stories of William Trevor,William Trevor,1988,Penguin USA
0140109269,The Jaguar Smile: A Nicaraguan Journey,Salman Rushdie,1988,Penguin USA
0140109277,Less Than Zero M/TV,Bert Easton Ellis,1987,Penguin Books
0140109293,Bring Larks and Heroes,Thomas Keneally,1995,Penguin USA
0140109463,Beachmasters (King Penguin),Thea Astley,1988,Penguin
0140109595,A Place I'Ve Never Been (Contemporary American Fiction),David Leavitt,1991,Penguin Books
0140109617,Famous Last Words,Timothy Findley,0,Penguin Putnam~trade
0140109641,Dangerous in Love,Leslie Thomas,1988,Viking Press
0140109811,More Die of Heartbreak,Saul Bellow,0,Penguin Putnam~trade
0140109862,Uncommon Genius: How Great Ideas Are Born,Denise G. Shekerjian,1991,Penguin Books
0140109927,Rainforest,Jenny Diski,1988,Penguin USA
0140109951,The Levant Trilogy (Fortunes of War),Olivia Manning,1988,Penguin USA
014010996X,The Balkan Trilogy,Olivia Manning,1988,Penguin USA
014011002X,Betrayal of Innocence: Incest and Its Devastation,Susan Forward,1988,Penguin Books
0140110070,The Penguin Book of Contemporary New Zealand Short Stories,Susan Davis,1990,Penguin USA
0140110127,The Writer's Home Companion,James Charlton,1989,Penguin USA
0140110143,"Sharpe's Rifles: Richard Sharpe and the French Invasion of Galicia, January 1809 (Sharpe's Adventures)",Bernard Cornwell,1993,Penguin Books
0140110321,Foe,J.M. Coetzee,1988,Penguin Books Ltd
0140110518,The Stalker Affair,John Stalker,1989,Penguin USA
0140110526,The Indian Lawyer (Contemporary American Fiction),James Welch,1991,Penguin Books
0140110720,Floating (Contemporary American Fiction),Marian Thurm,1988,Penguin USA
0140110771,Smallbone Deceased (Penguin Crime Fiction),Michael Francis Gilbert,1988,Penguin USA
0140110852,The Belles Lettres Papers,Charles Simmons,1988,Penguin USA
0140110879,You Bright and Risen Angels (Contemporary American fiction),William T. Vollmann,1988,Penguin Books
0140111050,Rumpole and the Age of Miracles,John Mortimer,1988,Penguin Books Ltd
0140111166,Becoming a Doctor: A Journey of Initiation in Medical School,"Melvin, Md. Konner",1988,Penguin Books
0140111212,Keepers of the House,Lisa St.Aubin De Teran,1990,Penguin Books Ltd
0140111263,Inside Black Australia: An Anthology of Aboriginal Poetry,Kevin Gilbert,1989,Penguin USA
0140111441,A Tale of Two Cities,Charles Dickens,1989,Penguin Books Ltd
0140111573,Pascali's Island,Barry Unsworth,1989,Penguin Books Ltd
0140111816,Fools of Fortune,William Trevor,1994,Penguin Books
0140111859,Hey Jack (Contemporary American Fiction),Barry Hannah,1988,Penguin USA
0140111891,Mixed Blessings: Overcoming the Stumbling Blocks in an Interfaith Marriage,Paul Cowan,1989,Penguin Books
0140112049,Stones,Timothy Findley,1989,Penguin Books
0140112057,A Victim Must Be Found,Howard Engel,1990,Penguin Books Ltd
0140112103,The Clothes in the Wardrobe,Alice Thomas Ellis,1989,Penguin Books Ltd
0140112286,The Rules of Attraction (Contemporary American Fiction),Bret Easton Ellis,1988,Penguin Books
0140112456,Forty Stories (Contemporary American Fiction),Donald Barthelme,1992,Penguin Books
0140112499,Crossing to safety,Wallace Earle Stegner,1988,Penguin Books
0140112502,The Widow's Mite and Other Stories (Contemporary American Fiction),Ferrol Sams,1992,Penguin Books
0140112510,Americana,Don DeLillo,1989,Penguin Books Ltd
0140112529,Eighty-Sixed (Contemporary Amer Fiction),David B. Feinberg,1989,Penguin Books
0140112553,Murder at Government House (Penguin Crime Fiction),Elspeth Josceline Huxley,1989,Penguin USA
0140112804,"First love, last rites (A King Penguin)",Ian McEwan,1989,Penguin Books
0140112839,The Comfort of Strangers (King Penguin),Ian McEwan,1989,Penguin USA
0140112847,Children of the Holocaust: Conversations With Sons and Daughters of Survivors,Helen Epstein,1988,Penguin Books
0140112901,The Viceroy of Ouidah,Bruce Chatwin,1988,Penguin Books
014011291X,In Patagonia,Bruce Chatwin,1988,Penguin Books
0140112936,Titmuss Regained,John Mortimer,1990,Penguin Books Ltd
0140112952,Riding the Iron Rooster By Train Through,Paul Theroux,0,Penguin Putnam~trade
0140113045,The Captain and the Enemy,Graham Greene,1989,Penguin Books Ltd
0140113096,In the Skin of a Lion,Michael Ondaatje,1989,Penguin USA
0140113118,Freelance Death (Penguin Crime Fiction),Andrew Taylor,1989,Penguin USA
0140113126,The Cesarean Myth,"Mortimer, M.D. Rosen",1989,Penguin USA
0140113347,Suddenly at the Priory (Penguin True Crime),John Williams,1989,Penguin USA
014011341X,The Second World War,John Keegan,1990,Penguin Books
0140113428,The Cat Who Came for Christmas,Cleveland Amory,1989,Penguin USA
0140113525,Portuguese,Kaplan,1999,Penguin Uk
014011369X,"And the Band Played on: Politics, People, and the AIDS Epidemic",Randy Shilts,1995,Penguin Books
0140113827,Murder at the Gardner : A Novel of Suspense: A Homer Kelly Mystery (Penguin Crime Monthly),Jane Langton,1989,Penguin Books
0140113843,The transcendental murder (Penguin crime fiction),Jane Langton,1989,Penguin Books
0140113886,Jigsaw: An Unsentimental Education,Sybille Bedford,1991,Penguin USA
0140114033,It's Raining in Mango: Pictures from a Family Album (King Penguin),Thea Astley,1988,Penguin USA
0140114114,Down in the Valley,David M. Pierce,1989,Penguin USA
0140114238,Jack the Ripper,Mark Daniel,1988,Penguin Books Ltd
0140114289,About the New Yorker and Me,E.J. Kahn,1989,Penguin Books Ltd
0140114335,The Lyre of Orpheus,Robertson Davies,1989,Penguin Books
0140114599,Loving Roger (King Penguin),Tim Parks,1988,Penguin USA
0140114661,March Violets (Penguin Crime Monthly),Philip Kerr,1990,Penguin USA
0140114777,Tamas: Winner of the Sahitya Award,Bhisham Sahni,2001,Penguin Books
0140114831,If You Can't Say Something Nice,Calvin Trillin,1988,Penguin USA
014011484X,The Modern World: Ten Great Writers,Malcolm Bradbury,1989,Penguin USA
0140114874,Man's Work (Penguin Originals),John Connelly,1989,Penguin Books
0140114963,Dutch Phrase Book,Jill Norman,1989,Penguin USA
0140115013,The Sugar Mother,Elizabeth Jolley,1989,Penguin Books Australia Ltd
0140115064,The Kimberley Killing,Peter Corris,1989,Penguin USA
0140115234,An Easy Thing (Penguin Crime Mystery),Paco Ignacio Taibo II,1990,Penguin USA
0140115285,All for One (Penguin Cookery Library),Janette Marshall,1990,Penguin Books Ltd
0140115331,Year of Silence (Contemporary American Fiction),Madison Smartt Bell,1989,Penguin Books
0140115455,A Necessary End,Peter Robinson,1990,Penguin Books Ltd
0140115765,Utz,Bruce Chatwin,1989,Penguin Books
0140115773,What Am I Doing Here,Bruce Chatwin,1990,Penguin Books
014011582X,Disappearing Through the Skylight: Culture and Technology in the Twentieth Century,Jr. O. B. Hardison,1990,Penguin USA
0140115854,Moon Palace (Contemporary American Fiction),Paul Auster,1990,Penguin Books
0140115862,Great Housewives of Art,Sally Swain,1989,Penguin USA
014011596X,The Goldfish Bowl (A Willows &amp; Parker Mystery),Laurence Gough,1989,Penguin USA
0140116052,The Penguin Book of English Madrigals: For Four Voices,Denis Stevens,1989,Penguin USA
0140116109,Swimming Pool Library,Alan Hollinghurst,0,Penguin Putnam~trade
0140116117,"Save me, Joe Louis",Kate Jennings,1988,Penguin Books
0140116168,"Dorothy Parker, What Fresh Hell Is This?",Marion Meade,1989,Penguin Books
0140116222,Dark Continent and Other Stories (Contemporary American fiction),Laura Kalpakian,1990,Penguin USA
0140116338,Love in the modern sense,Carol Clewlow,1992,Penguin
0140116370,Les Liaisons Dangereuses,Pierre Choderlos de Laclos,1961,Penguin Books Ltd
0140116524,"It Ain't Cheatin' If You Don't Get Caught: Scuffing, Corking, Spitting, Gunking, Razzing, and Other Fundamentals of Our National Pastime",Dan Gutman,1990,Penguin USA
0140116869,Virgin In the Garden,A S Byatt,0,Penguin Putnam~trade
0140116966,After the War,Frederic Raphael,1990,Penguin USA
0140116974,Breaking Ice: An Anthology of Contemporary African-American Fiction,Terry McMillan,1990,Penguin Books
0140116990,"The Pushcart Prize, Xiii: Best of the Small Presses",Bill Henderson,1989,Penguin Group USA
0140117075,The Rainbow,D.H. Lawrence,1989,Penguin Books Ltd
014011727X,Returning: A Spiritual Journey,Dan Wakefield,1989,Penguin USA
0140117326,Black Hearts and Slow Dancing (Penguin Crime Fiction),Earl W. Emerson,1989,Penguin USA
0140117350,The Devil and Dr. Barnes: Portrait of an American Collector,Howard Greenfeld,1988,Penguin USA
0140117393,Water from the Moon,Rory Barnes,1989,Penguin USA
0140117458,Stars of the Curfew,Ben Okri,1990,Penguin USA
0140117563,Lark Rise to Candleford,Flora Thompson,1989,Penguin USA
0140117601,Starting Out,Pierre Berton,1990,Penguin Books Ltd
0140117784,The Mother Shadow (Penguin Crime),Melodie Johnson Howe,1990,Penguin USA
0140117806,A Kindness Cup (King Penguin S.),Thea Astley,1989,Penguin USA
014011789X,When Children Want Children: An Inside Look at the Crisis of Teenage Parenthood,Leon Dash,1996,Penguin USA
0140117938,Whats Bred In the Bone,Robertson Davies,1988,Penguin Putnam~trade
0140118004,Children of Fast-Track Parents: Raising Self-sufficient and Confident Children in an Achievement-Oriented World,Andr̩e Aelion Brooks,1990,Penguin USA
0140118047,Blindfold Horse Memoirs of a Persian,Shusha Guppy,0,Penguin Putnam~trade
0140118292,In the Dutch Mountains (Penguin International Writers S.),Cees Nooteboom,1991,Penguin USA
0140118330,A Minnesota Book of Days (And a Few Nights),Howard Mohr,1989,Penguin USA
0140118365,Eva Luna,Isabel Allende,0,Penguin Putnam~trade
0140118373,Various Miracles (King Penguin),Carol Shields,1989,Penguin Books
0140118470,"Ah, Sweet Mystery of Life: The Country Stories of Roald Dahl (Penguin Fiction)",Roald Dahl,1991,Penguin Books
0140118594,The Deptford Trilogy (King Penguin),Robertson Davies,1999,Viking Penguin Inc
0140118608,The Rebel Angels,Robertson Davies,1989,Penguin Books Ltd
0140118799,You Don't Have to Pet to Be Popular,Libby Reid,1989,Penguin USA
0140118861,Village by the Sea,Anita Desai,1992,Penguin USA
0140118993,Tupelo Nights (Contemporary American Fiction),John Ed Bradley,1989,Penguin USA
0140119000,In Trouble Again,Redmond Ohanlon,0,Penguin Putnam~trade
014011906X,Fire on the Mountain,Anita Desai,1990,Penguin USA
0140119183,Getting It Right,Elizabeth Jane Howard,1989,Penguin Books Ltd
0140119191,Rohan Criena : Delinquents(Film Tie-in),FOREWORD BY BARRETT REID CRIENA ROHAN,1989,Penguin Books Ltd
0140119205,Nice Work,David Lodge,1989,Penguin Putnam~trade
0140119213,Nice Work,David Lodge,1989,Penguin Books Ltd
0140119337,Deceits of Time,Isabel Colegate,1990,Penguin Books Ltd
0140119485,Americana (Contemporary American Fiction),Don DeLillo,1989,Penguin Books
0140119507,If the River Was Whiskey: Stories (Contemporary American Fiction),T. Coraghessan Boyle,1990,Penguin Books
0140119620,Lucia rising,E. F Benson,1991,Penguin Books
0140119698,Theft: A Novella,Saul Bellow,1989,Penguin USA
0140119760,The Case of Sonia Wayward (Penguin crime fiction),Michael Innes,1989,Penguin USA
0140119795,The Cape Ann (Contemporary American Fiction),Faith Sullivan,1989,Penguin Books
0140119809,The Rainbow,D.H. Lawrence,1989,Penguin Books Ltd
0140119817,The Cinema As Art,Ralph Stephenson,1989,Penguin USA
0140119906,Love in the Time of Cholera (Penguin Great Books of the 20th Century),Gabriel Garcia Marquez,1994,Penguin Books
0140120289,Infernal Desire Machines of Doctor Hoffman,Angela Carter,1990,Penguin Books Ltd
0140120378,The Man Who Murdered God (Penguin Crime Monthly),John L. Reynolds,1990,Penguin USA
0140120432,The Charmer,Patrick Hamilton,1989,Penguin USA
0140120491,Great Indian Novel,Shashi Tharoor,1989,Penguin Books
0140120556,Dreams of Love and Fateful Encounters: The Power of Romantic Passion,Ethel Spector Person,1989,Penguin Books
0140120572,Monkey Bay (Contemporary American Fiction),Elaine Ford,1990,Penguin USA
0140120890,Spirals: A Womans Journey Through Family Life,Joan Gould,1989,Penguin USA
0140120904,The Predators' Ball: The Inside Story of Drexel Burnham and the Rise of the Junk Bond Raiders,Connie Bruck,1989,Penguin Books
0140121021,"Can't Quit You, Baby (Contemporary American Fiction)",Ellen Douglas,1989,Penguin Books
014012103X,Mercedes and the House of Rainbows (Contemporary American Fiction),Alan Jolis,1989,Penguin USA
0140121145,The Faces of Sappho,John Sligo,1999,Viking Penguin Inc
0140121153,Beyond Reagan: The New Landscape of American Politics,Jerry Hagstrom,1989,Penguin USA
0140121323,The glass whittler: And other stories,Stephanie Johnson,1989,Penguin Books
0140121617,Lives of Girls and Women,Alice Munro,1989,Penguin Books Ltd
0140121897,Silent Knives (Penguin Crime Monthly),Laurence Gough,1990,Penguin USA
0140122044,Tall poppies too,Susan Mitchell,1991,Penguin Books
0140122060,Paris Trout (Contemporary American Fiction),Pete Dexter,1989,Penguin Books
0140122087,Caverns,O.U. Levon,1989,Penguin USA
0140122192,Unable by Reason of Death,Catherine Lewis,1990,Penguin USA
014012229X,Secret Scars: A Guide for Survivors of Child Sexual Abuse,Cynthia Crosson Tower,1989,Penguin USA
0140122389,Rain Man,Leonore Fleischer,1999,Penguin Books
0140122478,"Goatwalking/a Guide to Wildlife Living, a Quest for the Peaceable Kingdom",Jim Corbett,1992,Penguin USA
0140122540,A New Age Now Begins: A People's History of the American Revolution (Volume 2),Page Smith,1989,Penguin USA
0140122656,"Raw: Open Wounds from the Cutting Edge of Commix, No 1 (Penguin Graphic Fiction)",Art Spiegelman,1989,Penguin USA
0140122796,Out of the Shelter (King Penguin),David Lodge,1989,Penguin Books
014012280X,Jade Woman (Penguin Crime Monthly),Jonathan Gash,1990,Penguin USA
0140122877,Gabriel's Lament,Paul Bailey,1989,Penguin Books Ltd
0140122982,And Leave Her Lay Dying,John Lawrence Reynolds,1992,Penguin USA
0140123016,Green Future: How to Make a World a Difference,L Johnson,1990,Penguin USA
0140123032,Moments of Desire: Sex and Sensuality by Australian Feminist Writers,Susan Hawthorne,1990,Penguin USA
0140123083,Regeneration,Pat Barker,2004,Penguin Putnam~trade
0140123261,Irish Folk and Fairy Tales/Omnibus Edition/3 Volumes in 1,Michael Scott,1990,Penguin USA
0140123318,American Garden Writing: Gleanings from Garden Lives Then and Now,Bonnie Marranca,1989,Penguin USA
0140123385,Rebuilding the House,Laurie Graham,1991,Penguin USA
0140123393,Simple Living: One Couples Search for a Better Life,Frank Levering,1993,Penguin Books
0140123415,Shots from the Hip (Penguin Originals),Charles Shaar Murray,1991,Penguin USA
0140123466,The Abode of Love,Aubrey Menen,1990,Penguin USA
0140123474,Prevalence of Witches,Aubrey Menen,1989,Penguin USA
0140123555,Travel (Granta: The Magazine of New Writing),Bill Buford,1989,Penguin Books / Granta
0140123563,Granta 26: Travel,Bill Buford,1989,Penguin USA
014012358X,Granta 27: Death,Bill Buford,1989,Penguin USA
0140123598,Granta (Granta: The Magazine of New Writing S.),Bill Buford,1989,Penguin Books / Granta
0140123601,Granta 28: Birthday Special,Bill Buford,1989,Penguin USA
0140123679,"Lady, baby, gypsy, queen",Margaret Barbalet,1992,Penguin Books
0140123687,The Impersonators,Jessica Anderson,1992,Penguin Books Australia Ltd
014012389X,Love in the Time of Cholera,Gabriel Garcia Marquez,1998,Penguin Books Ltd
014012389x,Love in the Time of Cholera,Gabriel Garcia Marquez,1998,Penguin Books Ltd
014012392X,The Camomile Lawn (King Penguin),Mary Wesley,1990,Penguin Books
0140123938,Harnessing Peacocks (King Penguin),Mary Wesley,1990,Penguin Books
0140124020,Clara Bow: Runnin' Wild,David Stenn,1990,Penguin USA
0140124039,Lives on the Boundary,Mike Rose,1990,Penguin Books
0140124187,Captain and the Enemy,Graham Greene,1989,Penguin Books
0140124195,The British Museum Is Falling Down (King Penguin),David Lodge,1989,Penguin Books
0140124209,Rift (Penguin Crime Fiction),Liza Cody,1989,Penguin USA
0140124306,This is your life (Contemporary American fiction),Meg Wolitzer,1989,Penguin Books
0140124349,Some Freaks,David Mamet,1991,Penguin USA
0140124357,Crime in Question (Crime Monthly),Margaret Yorke,1990,Penguin USA
0140124373,Red Dwarf,Grant Naylor,2005,Penguin Books Ltd
0140124381,Better Than Life,Doug Naylor,2004,Penguin Books Ltd
0140124454,The Penguin Book of Vampire Stories,Alan Ryan,1990,Penguin Books
0140124497,Uncle Dynamite,P.G. Wodehouse,1991,Penguin Books
0140124527,A Gentleman of Leisure,P.G. Wodehouse,1991,Penguin Books
0140124896,A History of Civilizations,Fernand Braudel,1995,Penguin Books
0140124918,New Applications of Mathematics (Penguin Press Science S.),Christine Bondi,1992,Penguin USA
0140124969,"A History of Contemporary Italy: Society and Politics, 1943-1988 (Penguin History)",Paul Ginsborg,1990,Penguin USA
0140125035,Lovers Discourse a Lovers Discourse,Roland Barthes,0,Penguin Putnam~trade
0140125086,Bad Language (Penguin Language &amp; Linguistics),Lars Andersson,1992,Penguin USA
0140125299,The Crest of the Peacock: Non-European Roots of Mathematics (Penguin Mathematics),George Ghevarghese Joseph,1992,Penguin USA
0140125949,Lesser Dependency,Peter Benson,0,Penguin Putnam~trade
0140126023,Concubines Children,Denise Chong,0,Penguin Putnam~trade
0140126031,Medicine River,Thomas King,1991,Penguin/Puffin Mass Market
0140126244,I for Isobel,Amy Witting,1990,Penguin USA
0140126414,Lithium for Medea: A Novel (Contemporary American Fiction),Kate Braverman,1989,Penguin USA
0140126422,Post No Bonds (Penguin Crime Fiction),Marcia Biederman,1989,Penguin USA
0140126430,Under a Cruel Star: A Life in Prague 1941-1968,Heda Margolius Kovaly,1989,Penguin USA
0140126511,The Trick of It,Michael Frayn,1991,Penguin USA
0140126562,Gracie: A Love Story,George Burns,1989,Penguin USA
0140126627,Homework,Margot Livesey,1991,Penguin USA
0140126643,The Message to the Planet,Iris Murdoch,1990,Penguin Books
0140126678,Love in the Time of Cholera,Gabriel Garcia Marquez,1990,Penguin Books Ltd
0140126759,John Dollar,Marianne Wiggins,0,Penguin Putnam~trade
